flight_id,flight_date,total_payload_kg,total_volume_cubic_m,uld_count,shipment_count,weight_utilization_percent,revenue_per_flight_usd,fuel_efficiency_kg_per_ton,co2_emissions_kg
QR0068F,2025-01-24,22693.14,87.63,30,44,22.69,171177.72,504.92610459271225,79771.75080453383
QR0070F,2025-01-29,12847.67,78.77,28,32,12.85,87075.67,512.5106968443282,30866.62724250485
QR0071F,2024-05-24,327.13,3.16,2,2,0.33,1617.5,346.7432022949598,1002.7474850984983
QR0072F,2024-07-23,3838.43,4.72,5,7,3.84,23547.64,509.56122677321076,10604.490156580765
QR0073F,2024-05-19,1596.08,9.11,3,3,1.6,11715.970000000001,519.087015710865,3318.74126859532
QR0074F,2024-12-17,8786.58,32.26,15,18,8.79,53601.799999999996,485.43947292690194,27382.080300082584
QR0075F,2024-03-21,81.51,3.54,1,1,0.08,1173.76,362.8956586899611,243.68297744649496
QR0076F,2024-06-22,253.57,4.08,1,1,0.25,912.87,475.65595393701045,580.8777285201694
QR0077F,2025-01-07,16204.75,75.56,27,37,16.2,107068.47,360.64496817843127,51875.36516472031
QR0078F,2024-05-07,2848.37,11.63,6,6,2.85,16719.7,459.43686152434844,9584.644559448367
QR0079F,2024-04-20,2764.92,23.18,7,7,2.76,16693.17,389.58215318884584,5733.028531428299
QR0080F,2024-10-28,1694.01,15.05,6,7,1.69,8826.18,474.63728517048855,4741.1714151634
QR0081F,2024-11-18,8937.23,34.9,12,15,8.94,46171.189999999995,481.985385828236,23784.46301448207
QR0082F,2024-09-05,1825.71,14.29,7,8,1.83,10767.66,393.62434014090474,5748.729504441517
QR0085F,2024-06-08,2351.64,15.9,3,4,2.35,23022.96,436.917067977602,7659.686391692131
QR0086F,2024-08-23,575.22,4.2,1,2,0.58,2564.22,512.6164418171338,2093.4403860773996
QR0087F,2024-07-10,5649.47,9.78,9,9,5.65,50875.34,450.0193997297514,18243.094479315085
QR0088F,2024-10-23,4555.75,23.16,7,12,4.56,35318.71000000001,463.0574821068089,12856.473185948786
QR0089F,2024-07-17,2943.0,5.43,4,5,2.94,21361.089999999997,494.85647322739305,12504.75258920774
QR0090F,2024-07-17,1743.85,1.82,3,3,1.74,10278.439999999999,421.33866791244725,5421.520608233916
QR0091F,2024-12-21,6735.71,17.92,9,9,6.74,30926.050000000003,445.8327428440954,24385.648621878667
QR0092F,2024-09-06,219.5,5.08,2,2,0.22,1624.62,420.279052338022,621.4871452946718
QR0093F,2024-08-31,660.06,3.23,1,1,0.66,2772.25,475.51827434088875,1507.6690245156478
QR0094F,2024-12-19,1713.09,5.46,3,3,1.71,10625.119999999999,453.7952108109248,5275.928850694123
QR0095F,2024-10-24,1445.94,5.1,2,3,1.45,7780.199999999999,454.4073378247462,4089.21817934206
QR0096F,2024-02-21,2092.9,1.79,2,2,2.09,23883.15,433.9865969072778,5607.062737618433
QR0097F,2024-09-25,8408.84,20.49,9,10,8.41,72398.87000000001,542.5991400677315,26021.690080461074
QR0098F,2024-05-30,532.13,0.72,1,1,0.53,2234.96,464.5070176241146,1599.2687325487962
QR0099F,2024-07-02,1757.31,4.66,2,3,1.76,19018.559999999998,391.8039331065699,6844.137005178438
QR0100F,2024-11-10,3391.55,16.4,7,9,3.39,24644.38,494.3854801412458,10989.789221509414
QR0101F,2024-09-24,751.33,12.98,3,3,0.75,3572.47,373.29254421819246,2425.2303844305584
QR0102F,2024-10-30,4293.87,22.95,4,9,4.29,45950.6,534.7395076756502,10184.296734491996
QR0103F,2024-10-23,510.69,1.75,1,1,0.51,4780.06,416.0930587150199,1736.3163802317658
QR0104F,2024-10-24,7405.69,28.53,13,16,7.41,53039.03999999999,469.4542514096232,24304.936345185142
QR0105F,2024-06-13,3180.26,6.58,6,6,3.18,16868.62,473.1284648012273,7410.68667174661
QR0106F,2024-08-01,7620.74,19.03,9,11,7.62,52801.52,297.43816164136695,16212.604099836604
QR0108F,2024-08-03,4280.21,11.83,6,8,4.28,18790.47,451.0254800447691,12577.785079470586
QR0110F,2024-04-15,546.11,6.2,2,3,0.55,2133.5099999999998,467.407493225115,1774.618384055401
QR0111F,2025-01-26,3273.79,25.69,11,12,3.27,21420.289999999997,478.46658382558985,7658.4539966955335
QR0113F,2024-07-28,2302.08,15.2,6,6,2.3,13712.559999999998,436.9412830326885,8279.030323060497
QR0114F,2024-08-12,458.57,5.81,2,2,0.46,1926.01,568.3417968821861,1641.506696103498
QR0115F,2024-08-12,554.06,0.28,0,1,0.55,7978.53,429.5784972312126,2185.90015177257
QR0116F,2024-12-14,1343.46,1.46,2,2,1.34,5689.530000000001,472.48470263769275,4650.368830437758
QR0117F,2024-05-20,2063.06,4.28,2,3,2.06,7867.49,398.6386573262904,8144.950980497733
QR0119F,2024-05-01,2457.12,21.3,8,8,2.46,18602.58,460.521849344662,5752.147840044226
QR0120F,2024-12-22,6553.1,35.61,16,18,6.55,39355.18,426.40546696677757,15488.290282610233
QR0121F,2024-06-07,106.48,0.05,1,1,0.11,747.48,479.73574260901984,353.5357743337814
QR0122F,2024-10-10,1492.16,13.29,5,6,1.49,13450.11,469.5800653027084,4074.159108290943
QR0123F,2025-01-29,10979.29,46.64,16,20,10.98,84083.73,485.7738154550755,36376.901293364164
QR0124F,2024-08-24,1510.98,12.02,4,7,1.51,11098.81,460.7260668741929,4276.751912259684
QR0125F,2024-03-27,1067.93,7.73,1,3,1.07,7586.490000000001,465.4724751034444,2822.7616681540135
QR0126F,2024-08-11,3775.87,21.19,5,8,3.78,30314.840000000004,377.46937518818856,7297.36241251422
QR0127F,2024-12-13,2790.27,5.77,4,4,2.79,10755.0,405.4872346651604,6759.7634671909955
QR0129F,2024-08-05,578.53,2.36,2,2,0.58,2536.55,414.2747175304884,1380.072592573121
QR0130F,2024-09-17,2398.61,9.68,3,3,2.4,26558.190000000002,441.8083154403755,7240.960155634323
QR0131F,2024-08-06,4255.93,24.41,7,9,4.26,32922.48,532.4870608953138,12794.632381370946
QR0132F,2024-09-18,1810.73,3.38,1,2,1.81,12758.18,549.1427223715439,5295.18426794089
QR0134F,2024-10-19,5396.64,13.29,9,11,5.4,37946.68,464.6745583555683,12793.33060896599
QR0135F,2024-08-18,2902.83,25.2,5,6,2.9,18203.129999999997,472.79800231283104,8578.22241242298
QR0137F,2024-05-31,2017.66,17.56,5,5,2.02,8260.85,440.5694431849248,4690.790046069041
QR0138F,2025-01-18,7886.48,19.05,9,13,7.89,71862.83,369.6728619856217,21902.543757781223
QR0139F,2024-11-18,12980.45,37.35,12,15,12.98,95722.99,391.1430746452877,40632.070200180795
QR0140F,2025-01-17,8022.06,35.35,11,17,8.02,60208.38,508.35130165223086,24772.7288698195
QR0141F,2024-03-24,252.31,2.71,1,1,0.25,1771.25,447.713182418888,650.3266619112304
QR0142F,2024-07-04,1272.76,1.05,1,1,1.27,11913.05,441.3130202012113,3930.016914053907
QR0143F,2024-06-02,103.46,4.9,2,2,0.1,892.42,469.28293359498724,359.06169213600776
QR0144F,2024-08-24,2543.41,12.27,5,5,2.54,19426.16,377.5972571322194,7830.129183574989
QR0145F,2024-09-04,67.45,2.86,1,1,0.07,473.49,386.5130264261358,240.88647169593156
QR0147F,2024-09-02,4550.87,24.87,9,12,4.55,25426.72,471.20109364604417,9776.703530987117
QR0150F,2024-09-03,3899.65,7.95,6,7,3.9,27860.050000000003,439.02745538051477,8868.190272138163
QR0151F,2024-09-14,1876.27,11.8,4,4,1.88,9343.77,482.4618184566351,6050.939098275952
QR0152F,2024-12-05,6343.95,12.26,6,8,6.34,46265.39,403.3128681965487,18146.76131713248
QR0153F,2024-06-06,1147.35,3.17,2,2,1.15,6434.099999999999,378.6855082511964,3572.860052754433
QR0154F,2025-01-17,11313.43,62.68,18,24,11.31,73078.25,424.66022664751836,31107.262639041306
QR0155F,2024-07-02,236.97,3.31,3,3,0.24,2120.88,473.58341952965526,607.010397926453
QR0156F,2024-09-26,2687.39,3.79,3,4,2.69,18654.47,482.5527034438653,10342.664190812928
QR0157F,2024-05-12,105.14,0.72,1,1,0.11,984.14,568.6832312284458,258.5316857806179
QR0158F,2024-11-24,8650.58,42.91,11,16,8.65,60176.990000000005,524.6513030892849,28307.02603561477
QR0159F,2024-01-19,45.16,0.21,1,1,0.05,422.68,449.5074457111469,149.467473685472
QR0160F,2024-03-05,1688.68,3.69,2,2,1.69,20627.41,418.73215052406294,3974.470791020017
QR0162F,2024-06-11,3735.01,4.68,3,3,3.74,15690.74,569.8027252225431,10442.986438256847
QR0163F,2024-05-05,757.61,8.6,2,2,0.76,5333.23,502.44666844239566,2314.869627613769
QR0164F,2024-06-29,2311.57,7.76,4,6,2.31,24669.950000000004,509.35322522749334,7246.887693051284
QR0165F,2024-11-13,238.99,6.24,2,2,0.24,894.0999999999999,466.0213662361436,801.8476786440488
QR0166F,2024-12-29,15287.2,38.54,19,26,15.29,114963.64000000001,405.5579779932948,58716.80797191002
QR0167F,2024-02-15,49.39,2.73,1,1,0.05,462.3,372.20320070584296,122.09516041589129
QR0170F,2024-04-26,1272.27,6.06,4,4,1.27,7911.37,411.8800651500562,4090.1357570823075
QR0173F,2024-10-27,3947.58,9.54,5,7,3.95,27701.780000000002,476.46973443645453,9084.58047038365
QR0174F,2024-12-22,2022.77,8.75,4,5,2.02,14234.210000000001,491.04447408350705,5745.553072399059
QR0176F,2025-01-21,2518.31,3.99,4,5,2.52,17015.769999999997,427.14643928028903,5420.506554761404
QR0177F,2024-04-07,1126.33,4.17,2,2,1.13,10627.810000000001,429.811801773943,2358.5266423922044
QR0178F,2024-10-12,3334.72,16.47,6,8,3.33,23157.55,453.9358663515925,9113.88265556147
QR0179F,2024-05-31,1905.89,8.15,4,4,1.91,8849.32,485.4900783039738,5581.37701254211
QR0181F,2024-12-07,6554.16,10.95,7,10,6.55,53191.19,437.3723997439736,17678.72056072354
QR0183F,2024-04-21,1242.57,2.53,2,2,1.24,7519.12,452.72505277008344,4169.849964580242
QR0185F,2024-06-12,46.56,1.17,0,1,0.05,435.84,441.9728409062566,169.7519166139484
QR0186F,2024-06-29,4602.54,20.51,5,7,4.6,27259.469999999998,439.7342380880577,11105.902531210544
QR0188F,2024-03-17,3222.14,5.81,1,1,3.22,30159.19,457.5149530639567,10274.96509967594
QR0191F,2024-01-27,789.37,4.59,1,1,0.79,5541.39,458.89808054525173,1148.2955956441467
QR0192F,2024-11-11,1483.98,3.07,2,2,1.48,13890.05,343.63539025651687,4926.507874664049
QR0193F,2024-07-05,1838.53,12.51,6,6,1.84,10437.79,435.24815378027785,4857.273226252632
QR0195F,2024-03-07,1191.15,3.91,2,2,1.19,8101.95,436.15973531733914,3764.050893867713
QR0197F,2024-10-29,5480.48,15.81,8,10,5.48,33032.01,426.27850027563363,16899.324025377846
QR0198F,2024-03-17,236.05,5.76,1,2,0.24,979.66,429.839070408301,698.8068492888555
QR0200F,2024-12-30,3701.75,15.44,10,11,3.7,24185.31,456.7680466448401,10290.13079539241
QR0201F,2024-09-08,1467.52,10.13,4,7,1.47,9022.41,440.55082843999423,4425.22492722587
QR0202F,2024-10-12,2885.05,3.59,3,3,2.89,16237.16,569.8732644845608,9384.662631953799
QR0203F,2024-12-05,5756.95,21.83,8,10,5.76,45099.299999999996,397.289844267921,17291.185999035064
QR0205F,2024-11-07,923.83,12.04,5,5,0.92,5758.73,297.38134864158076,2655.0463296094995
QR0206F,2024-08-29,1802.94,12.21,2,5,1.8,9135.48,463.9119826352667,5051.539039680071
QR0207F,2024-08-11,1327.78,11.59,5,7,1.33,12656.93,449.5780695763937,3441.329681117518
QR0208F,2024-09-22,7436.73,31.65,16,17,7.44,45118.8,486.11088993239827,20272.156310084298
QR0210F,2024-09-12,5364.36,26.27,2,4,5.36,30726.14,451.56366125067007,20204.568694078276
QR0212F,2024-06-23,1971.33,15.08,4,7,1.97,16733.329999999998,418.37350379085564,5806.744119441326
QR0213F,2024-03-03,123.81,0.07,1,1,0.12,1158.83,523.3911549609211,383.5980224040187
QR0214F,2024-03-12,757.84,2.29,2,2,0.76,5301.41,424.8230331881001,2477.915017404269
QR0217F,2024-05-04,2607.25,2.9,2,3,2.61,23542.55,433.7040546196869,7459.124334200861
QR0218F,2024-04-02,3069.31,6.55,4,5,3.07,20966.5,552.3571426845543,9808.439282839206
QR0219F,2024-12-23,4328.91,25.44,8,8,4.33,32479.010000000002,483.92597249762866,16599.270788116664
QR0220F,2025-01-30,10463.13,28.09,14,17,10.46,66391.66,479.0717792767756,30268.492620748933
QR0221F,2024-09-25,2522.89,22.78,10,12,2.52,15724.239999999998,426.67284803857467,6890.866394780586
QR0222F,2024-01-14,583.52,2.38,0,2,0.58,5461.719999999999,448.3662351791523,2066.679787283817
QR0223F,2024-07-07,27.88,0.33,1,1,0.03,100.36,486.1386791874628,83.94327983694563
QR0224F,2024-01-30,147.07,1.23,1,1,0.15,529.44,325.5893680350167,424.384060438165
QR0225F,2024-08-15,6606.01,43.87,8,12,6.61,48718.009999999995,435.71209277758106,22436.30899213647
QR0226F,2024-12-06,7480.57,14.19,9,12,7.48,49782.159999999996,457.72113451079616,19855.213733818073
QR0227F,2024-07-06,3856.87,14.19,6,7,3.86,22061.1,475.739550609415,14010.97128090658
QR0228F,2024-05-10,479.8,4.76,1,1,0.48,4490.92,477.7775445499308,1436.9701209530713
QR0229F,2024-07-16,2650.63,15.11,6,7,2.65,23799.22,460.16322765556964,8456.48740981152
QR0230F,2024-07-03,55.97,0.1,1,1,0.06,201.49,442.761768638162,201.7681776640819
QR0231F,2024-11-10,4728.59,20.95,8,9,4.73,32389.399999999998,426.09494660986223,13362.515099947323
QR0233F,2024-12-01,9692.15,41.98,15,17,9.69,66555.82,471.1671008414611,33404.92084407236
QR0234F,2024-05-05,384.42,4.79,0,1,0.38,1614.57,425.3287253722418,1265.7684716504834
QR0235F,2024-06-14,608.43,1.35,2,2,0.61,2310.12,420.43860272424433,2062.574161525543
QR0236F,2024-04-17,2865.64,11.85,4,6,2.87,28324.16,374.7735507677028,6215.05905059062
QR0238F,2024-06-29,244.74,2.1,0,1,0.24,1027.91,530.2715363731517,779.7595642851195
QR0239F,2024-11-06,2942.33,5.0,2,4,2.94,25632.17,417.28353951111825,10002.948387317769
QR0243F,2024-04-03,981.93,0.46,1,1,0.98,5891.56,439.04227921452804,3201.942386989389
QR0244F,2024-05-25,57.26,1.96,1,1,0.06,206.15,451.7817653119505,209.16705318246832
QR0245F,2024-05-01,167.07,1.85,1,1,0.17,601.46,408.3910812950177,469.5117739166879
QR0246F,2024-12-28,4128.43,6.61,4,6,4.13,34569.78,396.6912930400975,10305.594183797766
QR0247F,2024-03-26,615.5,1.06,1,1,0.62,5761.07,407.9906506034973,1356.6979941338673
QR0249F,2024-12-11,1155.83,7.71,2,3,1.16,11816.4,370.30938001823637,3735.8825289225683
QR0250F,2024-11-07,10347.76,29.4,9,14,10.35,67870.15,500.7112626432727,24423.86675963895
QR0251F,2024-12-13,9373.45,19.22,7,12,9.37,68679.04,423.8885185192058,28764.368597931192
QR0252F,2024-10-29,2609.45,20.42,8,8,2.61,15335.73,431.7111445785173,9057.130658712556
QR0254F,2024-01-27,478.37,2.15,0,1,0.48,6888.53,434.51314387324715,1194.6454185017708
QR0255F,2024-12-13,3223.2,11.1,4,5,3.22,24814.409999999996,460.6390290741916,11371.647172724166
QR0256F,2024-12-19,7659.07,28.58,10,14,7.66,64978.86,360.75434428400894,21819.588296471964
QR0257F,2024-07-17,1859.47,7.41,5,5,1.86,9743.039999999999,431.594374522995,5939.61216381378
QR0258F,2024-08-08,3339.28,11.2,5,5,3.34,17559.309999999998,451.7569333491377,13387.81781608767
QR0260F,2024-02-13,46.85,0.99,1,1,0.05,438.55,401.04115730380687,142.58092913942403
QR0261F,2024-10-14,960.91,1.91,2,2,0.96,4889.8099999999995,417.0071775225129,2198.125048439231
QR0262F,2024-05-10,590.51,6.66,2,2,0.59,3763.0899999999997,530.084731777796,1462.8643750155607
QR0263F,2024-07-13,484.8,1.36,1,1,0.48,3403.28,464.7992554080794,1684.341822839178
QR0264F,2024-03-27,249.57,0.91,1,1,0.25,1497.42,428.2589840145036,741.8463139792705
QR0265F,2024-04-02,571.03,7.39,2,2,0.57,3970.48,389.82990897870457,1604.4864533998968
QR0266F,2024-12-06,6085.81,28.49,13,16,6.09,33291.92,393.3914639257367,23079.395915690402
QR0267F,2024-08-19,4197.08,26.18,8,10,4.2,33106.13,447.1861422048998,12665.615014013583
QR0270F,2024-08-08,345.42,2.96,0,1,0.35,1243.52,397.86677043747176,1029.1189471010214
QR0271F,2024-10-07,1457.31,2.81,4,4,1.46,10612.86,398.66558128190337,4712.609202397321
QR0272F,2024-12-02,858.76,11.59,4,4,0.86,9133.48,453.07772156473624,2109.802131463129
QR0273F,2024-12-28,15056.46,61.89,20,28,15.06,92559.2,437.9459946653959,48204.785083262555
QR0274F,2024-10-20,5826.72,34.63,10,15,5.83,46591.79,485.7928349780335,14413.654650150864
QR0275F,2024-10-25,4272.41,14.26,6,8,4.27,21944.79,462.6498212953916,14388.871566213844
QR0276F,2025-01-16,10646.0,49.65,22,27,10.65,80326.76,430.2574045070263,35453.70110676976
QR0277F,2024-03-31,201.77,19.24,4,4,0.2,1008.9699999999999,413.39794689705434,771.774442562627
QR0278F,2024-06-10,1701.71,9.17,5,5,1.7,9592.74,386.53965961230944,4537.754275599585
QR0279F,2024-12-28,1977.02,11.35,2,3,1.98,11413.699999999999,421.0438377870032,6086.154336803272
QR0280F,2024-06-19,1545.31,4.53,1,3,1.55,5660.83,455.8158806627772,5317.594943639405
QR0281F,2024-10-17,7584.21,10.49,5,8,7.58,47871.36,455.9939930364008,22226.34749187883
QR0282F,2024-05-04,2019.01,2.22,1,3,2.02,18319.21,555.7621825581723,7181.677051706743
QR0283F,2024-09-30,1445.06,3.12,1,2,1.45,6069.28,437.4398454805986,3487.4886490599124
QR0284F,2024-04-23,788.41,7.57,3,3,0.79,3068.73,493.943844271849,2120.897274325451
QR0285F,2024-11-12,12094.15,57.7,16,23,12.09,75411.04000000001,477.93548288150396,39816.96506339848
QR0286F,2024-11-22,998.7,3.15,3,3,1.0,6493.320000000001,492.4764381415364,3536.140820409801
QR0287F,2024-09-15,1972.81,4.78,2,2,1.97,19771.23,370.9471891865437,5258.177887086885
QR0288F,2024-04-22,2791.57,5.15,4,4,2.79,14904.68,497.7321147626492,8178.591628936473
QR0289F,2024-04-24,1028.13,5.29,5,5,1.03,6925.51,511.0585996617113,3834.6590237956602
QR0290F,2025-01-25,10503.63,28.19,13,22,10.5,70924.09,386.6070337399433,41057.5690361896
QR0292F,2024-03-07,1127.19,0.46,1,1,1.13,6763.11,442.26572039895433,2894.9260834715483
QR0293F,2024-12-21,7421.38,19.94,10,10,7.42,64059.75000000001,432.2371842810663,23136.390329767557
QR0294F,2024-10-03,3356.58,12.21,4,6,3.36,15419.08,337.66334461329996,10679.438782531772
QR0295F,2024-06-16,346.38,12.32,2,2,0.35,3747.96,473.2971375710306,900.4073104030795
QR0296F,2024-12-14,6709.2,17.14,10,13,6.71,38647.03999999999,459.0470703972273,20861.89382144819
QR0298F,2024-09-18,1458.35,9.13,6,6,1.46,9273.82,374.41532399049004,4444.779198144586
QR0299F,2024-12-06,4485.74,21.48,10,12,4.49,29899.89,625.5328708098691,15931.216515676424
QR0300F,2024-10-28,6226.14,22.4,6,11,6.23,44714.01,460.6078904146511,14411.314342975742
QR0301F,2024-08-25,1088.55,1.94,2,3,1.09,7765.92,443.8075343366704,3477.332601709299
QR0303F,2024-09-02,3743.0,9.79,6,7,3.74,21091.09,374.58344238367346,12954.695110049175
QR0304F,2024-09-20,4352.19,12.18,6,8,4.35,29515.1,442.553248147129,10937.48420440364
QR0305F,2025-01-26,9827.74,39.68,19,24,9.83,78299.79000000001,510.41694588880296,38787.034163195465
QR0306F,2024-05-06,1377.53,3.94,3,3,1.38,12349.470000000001,438.19017613634753,4890.246304491865
QR0308F,2024-11-06,810.56,3.24,2,3,0.81,2977.08,429.6071897693163,2434.3048104525164
QR0309F,2024-09-07,1131.08,4.88,1,3,1.13,8065.549999999999,541.6333572565113,3993.0427882719164
QR0310F,2024-12-17,8121.18,45.72,16,20,8.12,79820.04,416.83762383984947,22398.598131697538
QR0311F,2024-06-28,384.68,0.16,2,2,0.38,2700.4700000000003,369.0151868170215,719.7742590320523
QR0312F,2024-02-13,563.06,3.91,1,1,0.56,2027.0,438.69509381277254,1287.1725412411242
QR0313F,2025-01-30,13180.11,57.53,22,29,13.18,86781.8,439.3891788971748,37042.245467890825
QR0314F,2024-08-28,68.11,1.28,1,1,0.07,478.11,472.793736983618,222.71836775206788
QR0317F,2024-12-29,3364.49,15.06,5,8,3.36,22089.54,496.970908205647,9345.13095698402
QR0319F,2024-06-10,69.5,4.06,1,1,0.07,650.54,480.1277347553669,163.56571706188998
QR0320F,2024-02-12,71.25,1.14,1,1,0.07,299.25,411.25351578660997,279.60822292492526
QR0322F,2024-06-19,826.48,0.46,1,1,0.83,5801.92,421.94499199138875,2343.9172180175756
QR0323F,2024-10-06,2272.49,4.98,1,2,2.27,8481.189999999999,358.27499908791566,7245.381281265712
QR0325F,2024-06-20,1968.48,1.42,2,2,1.97,14301.14,472.5304783434427,7820.399271897136
QR0326F,2024-08-17,2522.47,15.4,4,6,2.52,18658.71,433.882425704068,8066.0175528183645
QR0327F,2024-03-17,831.6,2.61,1,2,0.83,4432.59,406.4658739931757,2264.1001670411115
QR0328F,2024-11-08,369.85,2.04,1,1,0.37,1553.39,403.7965594672867,1223.0510614021632
QR0329F,2024-10-15,9039.41,20.79,14,16,9.04,61713.76,392.0422777280259,29368.88588614019
QR0330F,2024-08-02,1291.96,6.1,2,3,1.29,7984.76,402.85792942538757,4455.560274009649
QR0331F,2024-08-30,1671.45,15.72,3,4,1.67,8574.929999999998,513.6384384145109,5653.552366238535
QR0332F,2024-06-23,383.78,7.3,2,2,0.38,2419.18,494.29202660316633,1140.3108941614487
QR0335F,2024-10-13,584.95,6.04,2,2,0.58,3386.52,532.2745770688898,1475.0630722408757
QR0336F,2024-08-23,4845.82,3.23,3,4,4.85,37997.840000000004,446.11195459601794,9509.195800442543
QR0338F,2024-07-13,2812.47,12.34,6,7,2.81,19311.48,440.4329874836419,7733.902383957439
QR0339F,2024-08-18,4736.86,14.29,10,11,4.74,29060.83,499.85151673872923,14898.749304737139
QR0341F,2024-07-05,1233.44,6.07,2,3,1.23,5625.99,429.70382393105604,3325.2806772840972
QR0342F,2024-07-15,3163.85,7.68,3,4,3.16,34708.94,463.43769511050647,7725.722880133491
