uld_id,uld_type,max_weight_kg,max_volume_cubic_m,purchase_date,current_status,current_location,last_inspection_date,total_flights
ULD000048,P6P,13608,36.0,2023-03-10,Available,DOH,2024-08-26,41
ULD000049,AMA,6804,18.0,2023-09-17,In Use,HKG,2023-08-23,57
ULD000050,P6P,13608,36.0,2024-12-28,In Use,DEL,2024-06-14,44
ULD000051,AKE,1588,10.4,2021-07-28,In Use,LHR,2023-10-08,55
ULD000052,PLA,4627,12.0,2020-12-17,In Use,PVG,2024-04-12,54
ULD000053,AMA,6804,18.0,2024-09-02,Available,LHR,2024-03-28,44
ULD000054,AAP,6032,16.0,2022-01-26,In Use,BKK,2023-06-18,43
ULD000055,AMA,6804,18.0,2025-01-18,Available,CAN,2024-07-05,52
ULD000056,PAG,6804,18.0,2020-10-30,In Use,MEL,2023-10-12,49
ULD000057,AMA,6804,18.0,2024-06-02,In Use,NRT,2023-09-23,42
ULD000058,P1P,6804,18.0,2022-09-24,In Use,BKK,2023-07-11,50
ULD000059,DQF,2449,7.0,2023-08-01,In Use,CAN,2024-04-15,63
ULD000060,AAP,6032,16.0,2021-12-07,In Use,ORD,2024-05-24,54
ULD000061,P1P,6804,18.0,2021-02-16,In Use,SYD,2023-06-26,52
ULD000062,PLA,4627,12.0,2024-06-20,Available,MEL,2025-01-15,48
ULD000063,PLA,4627,12.0,2023-03-23,In Use,BKK,2024-08-22,49
ULD000064,PLA,4627,12.0,2023-10-10,In Use,PVG,2024-06-17,59
ULD000065,PMC,6804,18.0,2023-03-15,In Use,FRA,2023-12-27,52
ULD000066,DQF,2449,7.0,2022-09-24,Under Maintenance,NRT,2024-07-10,35
ULD000067,PMC,6804,18.0,2024-02-13,Under Maintenance,PVG,2024-06-30,57
ULD000068,PLA,4627,12.0,2020-01-19,Retired,PVG,2024-03-05,46
ULD000069,P1P,6804,18.0,2023-10-10,In Use,FRA,2024-10-16,51
ULD000070,DQF,2449,7.0,2021-10-03,In Use,JFK,2023-12-21,47
ULD000071,PMC,6804,18.0,2020-09-30,Available,JFK,2024-02-07,55
ULD000072,P1P,6804,18.0,2023-12-16,Available,CDG,2024-03-27,44
ULD000073,AKE,1588,10.4,2023-01-05,In Use,DEL,2024-01-23,41
ULD000074,P6P,13608,36.0,2022-06-28,In Use,JFK,2024-11-10,50
ULD000075,AMA,6804,18.0,2024-09-20,Available,CAN,2023-09-12,62
ULD000076,P1P,6804,18.0,2022-08-14,In Use,CDG,2024-01-01,52
ULD000077,PAG,6804,18.0,2023-02-09,In Use,DOH,2023-06-01,41
ULD000078,AMA,6804,18.0,2025-01-19,Under Maintenance,HKG,2024-10-05,50
ULD000079,PMC,6804,18.0,2021-10-08,Under Maintenance,DEL,2024-06-10,37
ULD000080,AMA,6804,18.0,2023-09-11,In Use,FRA,2024-03-06,43
ULD000081,P1P,6804,18.0,2024-09-13,In Use,BKK,2023-07-11,51
ULD000082,PLA,4627,12.0,2024-05-26,In Use,SYD,2024-10-15,56
ULD000083,DQF,2449,7.0,2022-03-22,In Use,IST,2024-10-27,50
ULD000084,PMC,6804,18.0,2022-06-17,In Use,AMS,2025-01-14,48
ULD000085,PAG,6804,18.0,2020-07-05,Under Maintenance,SYD,2023-09-28,42
ULD000086,PAG,6804,18.0,2023-09-21,In Use,CAN,2024-11-04,47
ULD000087,AMA,6804,18.0,2021-12-04,Available,DOH,2023-10-13,53
ULD000088,DQF,2449,7.0,2023-02-10,In Use,CAN,2023-12-07,55
ULD000089,P6P,13608,36.0,2023-08-11,Available,BKK,2024-01-24,44
ULD000090,AAP,6032,16.0,2024-12-28,In Use,FRA,2024-03-15,57
ULD000091,PLA,4627,12.0,2020-04-12,In Use,FRA,2024-02-19,53
ULD000092,PMC,6804,18.0,2021-03-16,In Use,MEL,2023-11-24,39
ULD000093,DQF,2449,7.0,2021-08-21,Available,AMS,2024-09-24,58
ULD000094,PMC,6804,18.0,2020-08-25,In Use,SYD,2024-04-12,54
ULD000095,AAP,6032,16.0,2024-03-07,In Use,PVG,2024-10-08,45
ULD000096,PMC,6804,18.0,2021-08-10,In Use,PVG,2024-04-02,43
ULD000097,AKE,1588,10.4,2024-05-10,In Use,JFK,2023-09-29,43
ULD000098,AKE,1588,10.4,2024-03-16,Available,ORD,2024-04-16,48
ULD000099,AAP,6032,16.0,2021-06-08,Available,FRA,2024-03-20,57
ULD000100,AKH,1588,11.5,2023-10-11,Available,DOH,2023-10-15,45
ULD000101,AMA,6804,18.0,2024-02-15,In Use,SYD,2024-11-21,52
ULD000102,AKE,1588,10.4,2022-03-13,In Use,DEL,2023-10-11,53
ULD000103,PMC,6804,18.0,2024-10-16,In Use,DOH,2024-03-08,51
ULD000104,AKE,1588,10.4,2023-12-20,In Use,ORD,2023-06-04,56
ULD000105,AKE,1588,10.4,2023-07-24,In Use,DXB,2024-12-12,59
ULD000106,P1P,6804,18.0,2022-08-13,Retired,DOH,2023-12-24,60
ULD000107,P1P,6804,18.0,2025-01-21,Available,ORD,2024-08-08,48
ULD000108,AAP,6032,16.0,2020-10-19,In Use,HKG,2023-07-09,45
ULD000109,P1P,6804,18.0,2020-05-25,In Use,CDG,2024-04-10,53
ULD000110,P6P,13608,36.0,2023-05-12,In Use,SYD,2023-09-16,41
ULD000111,DQF,2449,7.0,2024-05-01,Available,JFK,2024-03-16,42
ULD000112,PAG,6804,18.0,2022-01-19,Retired,MAD,2024-10-06,40
ULD000113,P6P,13608,36.0,2021-11-19,In Use,FRA,2023-10-06,45
ULD000114,DQF,2449,7.0,2023-08-11,In Use,JFK,2023-09-28,53
ULD000115,AKE,1588,10.4,2020-11-27,In Use,LAX,2023-10-28,43
ULD000116,PLA,4627,12.0,2024-11-03,In Use,LHR,2023-11-08,59
ULD000117,AKE,1588,10.4,2024-05-27,Available,JFK,2024-02-20,52
ULD000118,PMC,6804,18.0,2021-03-16,Available,MEL,2023-08-22,48
ULD000119,P6P,13608,36.0,2022-06-21,Retired,HKG,2024-02-07,50
ULD000120,P1P,6804,18.0,2023-10-20,Under Maintenance,FRA,2023-07-26,42
ULD000121,AMA,6804,18.0,2024-10-14,Under Maintenance,CAN,2024-10-09,38
ULD000122,PMC,6804,18.0,2023-09-12,In Use,JFK,2024-02-23,44
ULD000123,DQF,2449,7.0,2022-12-17,Under Maintenance,CAN,2024-12-22,45
ULD000124,AKE,1588,10.4,2022-09-28,In Use,MEL,2024-12-25,55
ULD000125,AKE,1588,10.4,2024-05-02,Retired,CAN,2023-08-28,51
ULD000126,AAP,6032,16.0,2024-09-18,Available,LAX,2024-03-30,53
ULD000127,AKH,1588,11.5,2024-02-21,In Use,CAN,2024-12-28,55
ULD000128,AMA,6804,18.0,2022-12-13,In Use,LAX,2023-08-26,52
ULD000129,P1P,6804,18.0,2023-07-17,In Use,NRT,2024-05-02,50
ULD000130,AKH,1588,11.5,2020-01-23,In Use,SYD,2024-05-12,46
ULD000131,AKE,1588,10.4,2023-10-04,In Use,FRA,2024-08-21,40
ULD000132,AKH,1588,11.5,2024-08-26,In Use,DEL,2023-10-26,55
ULD000133,P6P,13608,36.0,2021-04-28,In Use,MEL,2024-06-29,54
ULD000134,AKE,1588,10.4,2020-04-17,In Use,MAD,2023-06-10,44
ULD000135,PMC,6804,18.0,2021-08-26,In Use,PVG,2024-12-15,57
ULD000136,PLA,4627,12.0,2023-06-26,In Use,CAN,2023-11-21,45
ULD000137,PLA,4627,12.0,2024-04-24,In Use,DEL,2023-12-15,47
ULD000138,DQF,2449,7.0,2022-05-17,Available,JFK,2023-08-04,62
ULD000139,AKH,1588,11.5,2023-06-29,In Use,LAX,2023-12-07,66
ULD000140,AAP,6032,16.0,2023-08-14,Available,MEL,2023-10-23,43
ULD000141,PAG,6804,18.0,2020-07-19,In Use,DOH,2024-11-06,59
ULD000142,DQF,2449,7.0,2022-03-14,In Use,DXB,2023-07-07,57
ULD000143,AKH,1588,11.5,2021-08-22,In Use,SIN,2023-11-06,54
ULD000144,PLA,4627,12.0,2020-04-19,In Use,PVG,2023-10-29,44
ULD000145,P1P,6804,18.0,2023-03-11,In Use,DOH,2024-05-14,65
ULD000146,AKH,1588,11.5,2023-04-04,In Use,JFK,2024-04-11,42
ULD000147,P6P,13608,36.0,2020-03-25,In Use,MEL,2024-12-26,62
ULD000148,PLA,4627,12.0,2023-10-08,In Use,ORD,2024-03-10,54
ULD000149,PLA,4627,12.0,2020-03-12,Available,PVG,2025-01-20,65
ULD000150,AMA,6804,18.0,2023-03-01,In Use,SIN,2024-07-05,46
ULD000151,PLA,4627,12.0,2023-12-16,In Use,DXB,2024-06-23,44
ULD000152,DQF,2449,7.0,2020-10-25,In Use,NRT,2024-01-22,37
ULD000153,AKH,1588,11.5,2020-12-05,In Use,DXB,2024-01-06,47
ULD000154,PLA,4627,12.0,2020-07-01,In Use,JFK,2025-01-21,36
ULD000155,PAG,6804,18.0,2021-03-09,In Use,FRA,2024-06-25,51
ULD000156,PMC,6804,18.0,2023-08-15,In Use,CDG,2024-06-02,46
ULD000157,PMC,6804,18.0,2021-02-19,In Use,BKK,2023-09-23,60
ULD000158,AKE,1588,10.4,2024-01-24,Under Maintenance,MEL,2024-11-18,44
ULD000159,P6P,13608,36.0,2024-11-06,In Use,MEL,2023-07-05,59
ULD000160,PMC,6804,18.0,2025-01-01,In Use,DEL,2024-06-24,59
ULD000161,AAP,6032,16.0,2024-09-03,In Use,DEL,2024-08-01,64
ULD000162,AMA,6804,18.0,2022-10-30,In Use,SIN,2024-08-24,56
ULD000163,PLA,4627,12.0,2021-03-10,Retired,BKK,2024-09-26,50
ULD000164,PMC,6804,18.0,2021-09-13,Retired,FRA,2025-01-10,56
ULD000165,PAG,6804,18.0,2022-11-05,In Use,LAX,2024-05-08,48
ULD000166,PAG,6804,18.0,2022-11-03,In Use,CAN,2023-12-13,44
ULD000167,AMA,6804,18.0,2022-04-03,In Use,PVG,2023-09-12,47
ULD000168,AAP,6032,16.0,2024-11-29,In Use,PVG,2024-08-12,46
ULD000169,AKE,1588,10.4,2024-12-05,Retired,MAD,2024-11-16,32
ULD000170,AMA,6804,18.0,2024-04-21,In Use,BKK,2024-12-11,48
ULD000171,AKH,1588,11.5,2024-02-04,Available,ORD,2024-04-06,56
ULD000172,PMC,6804,18.0,2024-05-20,In Use,BKK,2025-01-07,48
ULD000173,AMA,6804,18.0,2024-11-06,In Use,NRT,2023-08-11,65
ULD000174,PLA,4627,12.0,2020-09-15,Available,JFK,2023-11-14,52
ULD000175,PMC,6804,18.0,2024-07-17,Retired,AMS,2024-11-12,65
ULD000176,P6P,13608,36.0,2023-08-18,In Use,IST,2023-12-07,52
ULD000177,PLA,4627,12.0,2021-06-22,In Use,SYD,2024-03-25,44
ULD000178,P1P,6804,18.0,2022-04-11,In Use,JFK,2024-03-02,44
ULD000179,AKH,1588,11.5,2024-04-19,Available,SYD,2024-03-20,56
ULD000180,AAP,6032,16.0,2024-01-24,In Use,LHR,2023-11-23,48
ULD000181,P6P,13608,36.0,2020-06-30,Retired,LAX,2024-01-26,54
ULD000182,PAG,6804,18.0,2020-12-16,Retired,ORD,2024-12-20,57
ULD000183,AKH,1588,11.5,2021-10-21,In Use,DXB,2024-02-26,44
ULD000184,AMA,6804,18.0,2023-07-22,In Use,IST,2023-11-09,52
ULD000185,P1P,6804,18.0,2022-03-06,In Use,CAN,2024-05-04,39
ULD000186,AMA,6804,18.0,2023-10-07,In Use,LAX,2024-06-05,45
ULD000187,PMC,6804,18.0,2021-10-16,Available,CAN,2023-06-23,59
ULD000188,P1P,6804,18.0,2023-09-09,In Use,DOH,2023-10-07,53
ULD000189,PMC,6804,18.0,2024-09-03,In Use,ORD,2023-10-07,38
ULD000190,AKH,1588,11.5,2021-07-22,In Use,NRT,2023-10-27,47
ULD000191,PAG,6804,18.0,2021-03-18,In Use,MAD,2024-07-30,55
ULD000192,AMA,6804,18.0,2020-03-29,In Use,SYD,2024-05-10,38
ULD000193,PMC,6804,18.0,2020-01-04,In Use,MAD,2024-06-15,54
ULD000194,PAG,6804,18.0,2022-01-24,In Use,LHR,2023-09-24,58
ULD000195,AKH,1588,11.5,2022-07-05,In Use,MEL,2024-11-21,50
ULD000196,AKH,1588,11.5,2022-03-09,In Use,SIN,2024-08-25,58
ULD000197,AMA,6804,18.0,2020-10-31,In Use,PVG,2023-07-06,54
ULD000198,AAP,6032,16.0,2021-05-21,In Use,ORD,2023-10-23,45
ULD000199,PMC,6804,18.0,2020-02-24,In Use,LAX,2024-08-03,57
ULD000200,AAP,6032,16.0,2020-12-23,In Use,ORD,2024-11-16,58
ULD000201,PLA,4627,12.0,2021-04-06,In Use,DEL,2023-07-11,54
ULD000202,AMA,6804,18.0,2023-06-04,In Use,ORD,2024-10-22,54
ULD000203,PLA,4627,12.0,2020-07-25,In Use,CDG,2023-09-21,52
ULD000204,AMA,6804,18.0,2020-07-30,In Use,JFK,2023-08-07,42
ULD000205,P6P,13608,36.0,2021-03-02,In Use,PVG,2023-09-15,59
ULD000206,AAP,6032,16.0,2023-04-29,In Use,CDG,2023-09-04,58
ULD000207,PMC,6804,18.0,2022-05-17,In Use,AMS,2023-07-26,46
ULD000208,P1P,6804,18.0,2023-01-26,Retired,MEL,2023-11-16,42
ULD000209,P6P,13608,36.0,2021-07-27,In Use,LAX,2025-01-29,58
ULD000210,P6P,13608,36.0,2022-04-05,In Use,SYD,2023-11-14,53
ULD000211,PMC,6804,18.0,2020-09-15,In Use,BKK,2024-01-12,53
ULD000212,P6P,13608,36.0,2022-12-21,In Use,NRT,2024-12-22,56
ULD000213,PAG,6804,18.0,2020-07-24,In Use,BKK,2024-06-15,56
ULD000214,AKH,1588,11.5,2022-07-28,In Use,NRT,2024-11-28,69
ULD000215,P1P,6804,18.0,2021-02-27,In Use,DEL,2023-08-23,54
ULD000216,AAP,6032,16.0,2022-03-27,In Use,ORD,2024-05-06,46
ULD000217,AAP,6032,16.0,2020-01-07,In Use,PVG,2024-08-05,37
ULD000218,AAP,6032,16.0,2023-10-12,In Use,AMS,2023-10-12,47
ULD000219,DQF,2449,7.0,2023-02-11,In Use,MEL,2024-05-21,55
ULD000220,PMC,6804,18.0,2022-12-14,In Use,SYD,2024-10-15,56
ULD000221,AKE,1588,10.4,2020-09-27,In Use,CDG,2024-11-16,50
ULD000222,PLA,4627,12.0,2024-08-05,Retired,IST,2024-06-02,54
ULD000223,PMC,6804,18.0,2021-02-04,In Use,AMS,2024-04-25,48
ULD000224,PLA,4627,12.0,2024-11-03,Available,MAD,2023-06-09,42
ULD000225,PMC,6804,18.0,2022-10-22,In Use,CAN,2023-12-12,54
ULD000226,AKE,1588,10.4,2023-11-13,Available,FRA,2023-06-10,38
ULD000227,DQF,2449,7.0,2021-09-04,In Use,FRA,2024-11-08,53
ULD000228,P1P,6804,18.0,2022-07-10,In Use,MAD,2024-11-04,66
ULD000229,P6P,13608,36.0,2021-05-23,Available,AMS,2024-09-26,49
ULD000230,P1P,6804,18.0,2020-09-23,In Use,CAN,2023-08-14,48
ULD000231,AKH,1588,11.5,2021-07-12,In Use,PVG,2023-11-22,48
ULD000232,PAG,6804,18.0,2020-10-09,In Use,LHR,2024-12-29,60
ULD000233,PMC,6804,18.0,2023-08-31,In Use,ORD,2024-12-16,43
ULD000234,AKH,1588,11.5,2024-11-06,Available,FRA,2024-02-28,53
ULD000235,DQF,2449,7.0,2023-12-12,Under Maintenance,LHR,2024-02-10,59
ULD000236,PMC,6804,18.0,2021-02-21,In Use,JFK,2024-04-05,71
ULD000237,PMC,6804,18.0,2020-05-22,Under Maintenance,HKG,2024-02-04,59
ULD000238,AMA,6804,18.0,2023-02-19,In Use,CAN,2024-02-12,56
ULD000239,PAG,6804,18.0,2024-04-14,Under Maintenance,DEL,2023-06-30,41
ULD000240,PLA,4627,12.0,2023-04-16,In Use,NRT,2024-07-15,62
ULD000241,AMA,6804,18.0,2020-04-19,Available,LHR,2024-04-20,57
ULD000242,P6P,13608,36.0,2024-03-25,In Use,DXB,2023-06-14,40
ULD000243,P6P,13608,36.0,2021-09-12,In Use,MEL,2024-09-04,54
ULD000244,DQF,2449,7.0,2020-11-10,In Use,DXB,2023-06-22,43
ULD000245,P1P,6804,18.0,2022-05-24,Retired,HKG,2024-10-12,36
ULD000246,AAP,6032,16.0,2020-10-16,Retired,ORD,2023-06-01,45
ULD000247,AKE,1588,10.4,2023-09-13,Retired,NRT,2024-12-19,46
ULD000248,AAP,6032,16.0,2022-01-19,In Use,MEL,2024-01-27,48
ULD000249,AMA,6804,18.0,2022-04-18,Available,LAX,2024-12-09,52
ULD000250,PMC,6804,18.0,2023-02-10,In Use,DXB,2024-08-16,54
ULD000251,PLA,4627,12.0,2023-02-11,In Use,JFK,2023-08-25,56
ULD000252,AKH,1588,11.5,2020-06-06,In Use,DXB,2024-03-08,50
ULD000253,PAG,6804,18.0,2024-08-30,In Use,AMS,2024-04-11,41
ULD000254,PAG,6804,18.0,2021-11-10,In Use,JFK,2024-11-22,52
ULD000255,PMC,6804,18.0,2020-08-19,In Use,SYD,2024-07-04,51
ULD000256,AKH,1588,11.5,2021-07-09,Available,LAX,2023-12-24,46
ULD000257,AMA,6804,18.0,2024-03-21,Retired,CDG,2024-03-21,38
ULD000258,PMC,6804,18.0,2021-09-18,In Use,BKK,2023-07-11,30
ULD000259,PAG,6804,18.0,2024-08-23,In Use,NRT,2024-04-05,48
ULD000260,P6P,13608,36.0,2020-06-18,Under Maintenance,MEL,2024-07-13,51
ULD000261,AKE,1588,10.4,2022-07-17,In Use,MAD,2023-10-13,57
ULD000262,AKE,1588,10.4,2021-01-22,In Use,SIN,2023-09-29,42
ULD000263,PMC,6804,18.0,2025-01-12,In Use,ORD,2023-06-20,53
ULD000264,AMA,6804,18.0,2025-01-19,Retired,NRT,2024-09-07,54
ULD000265,DQF,2449,7.0,2022-01-15,In Use,DXB,2024-05-17,55
ULD000266,AKH,1588,11.5,2023-10-28,In Use,DXB,2023-11-27,47
ULD000267,AKH,1588,11.5,2022-01-30,In Use,SIN,2023-08-26,38
ULD000268,AKE,1588,10.4,2024-12-26,In Use,BKK,2025-01-24,51
ULD000269,AMA,6804,18.0,2024-05-21,In Use,JFK,2024-11-09,49
ULD000270,AKH,1588,11.5,2024-04-30,In Use,AMS,2024-09-03,50
ULD000271,AKH,1588,11.5,2022-03-30,In Use,FRA,2023-06-09,38
ULD000272,P1P,6804,18.0,2023-07-04,In Use,DOH,2024-07-04,44
ULD000273,AKE,1588,10.4,2024-03-27,In Use,HKG,2023-07-24,59
ULD000274,PLA,4627,12.0,2020-12-13,In Use,AMS,2024-09-23,43
ULD000275,AKH,1588,11.5,2023-01-02,In Use,JFK,2023-11-27,53
ULD000276,AKH,1588,11.5,2022-11-25,In Use,SYD,2025-01-28,51
ULD000277,DQF,2449,7.0,2020-01-05,In Use,NRT,2024-07-30,43
ULD000278,AAP,6032,16.0,2022-03-19,In Use,CAN,2023-08-22,37
ULD000279,AKE,1588,10.4,2024-04-16,In Use,SIN,2023-08-23,45
ULD000280,PMC,6804,18.0,2023-12-09,In Use,CDG,2024-03-10,59
ULD000281,AAP,6032,16.0,2020-06-14,Under Maintenance,DEL,2023-12-19,55
ULD000282,PMC,6804,18.0,2024-10-03,Under Maintenance,JFK,2023-09-18,47
ULD000283,AKH,1588,11.5,2022-06-26,In Use,HKG,2023-06-04,59
ULD000284,P6P,13608,36.0,2024-11-10,Available,SYD,2025-01-28,49
ULD000285,PLA,4627,12.0,2022-06-14,In Use,NRT,2024-12-04,50
ULD000286,AMA,6804,18.0,2023-02-05,In Use,JFK,2023-10-10,61
ULD000287,AMA,6804,18.0,2021-03-21,In Use,DEL,2023-09-17,45
ULD000288,P6P,13608,36.0,2020-09-15,In Use,DOH,2024-06-13,62
ULD000289,DQF,2449,7.0,2020-06-24,In Use,DEL,2024-03-14,53
ULD000290,P1P,6804,18.0,2024-12-15,In Use,LAX,2024-10-02,55
ULD000291,DQF,2449,7.0,2023-01-19,In Use,FRA,2025-01-25,42
ULD000292,PMC,6804,18.0,2020-06-05,In Use,FRA,2025-01-28,72
ULD000293,PMC,6804,18.0,2024-03-05,In Use,JFK,2024-01-02,59
ULD000294,P1P,6804,18.0,2022-05-09,Under Maintenance,DOH,2023-08-03,44
ULD000295,PAG,6804,18.0,2020-06-29,Under Maintenance,NRT,2024-11-13,49
ULD000296,PLA,4627,12.0,2020-03-23,Under Maintenance,CAN,2024-03-02,47
ULD000297,PLA,4627,12.0,2022-04-07,In Use,SIN,2024-10-11,42
ULD000298,PMC,6804,18.0,2021-08-23,Retired,JFK,2023-10-15,71
ULD000299,AKE,1588,10.4,2025-01-08,In Use,DOH,2024-01-13,53
ULD000300,DQF,2449,7.0,2020-08-05,In Use,LHR,2025-01-18,56
ULD000301,PLA,4627,12.0,2020-03-03,In Use,IST,2024-07-07,44
ULD000302,PLA,4627,12.0,2025-01-24,In Use,LAX,2024-11-04,42
ULD000303,AKH,1588,11.5,2021-05-28,In Use,PVG,2024-11-26,46
ULD000304,P6P,13608,36.0,2022-05-26,In Use,JFK,2023-07-27,48
ULD000305,DQF,2449,7.0,2020-08-08,In Use,CDG,2023-06-30,52
ULD000306,AAP,6032,16.0,2023-09-04,In Use,LAX,2024-04-01,42
ULD000307,P6P,13608,36.0,2024-02-09,In Use,JFK,2024-10-01,53
ULD000308,DQF,2449,7.0,2023-03-19,In Use,FRA,2024-10-23,58
ULD000309,AKE,1588,10.4,2023-09-26,In Use,ORD,2024-05-28,52
ULD000310,AKH,1588,11.5,2021-02-12,In Use,DEL,2023-10-04,43
ULD000311,AKE,1588,10.4,2022-08-10,In Use,SIN,2023-09-15,45
ULD000312,AKH,1588,11.5,2021-02-10,In Use,NRT,2023-10-11,51
ULD000313,AKE,1588,10.4,2024-08-10,In Use,SYD,2023-09-26,32
ULD000314,P1P,6804,18.0,2022-01-14,In Use,DXB,2024-11-11,49
ULD000315,AAP,6032,16.0,2020-04-22,In Use,DXB,2024-04-27,46
ULD000316,AKH,1588,11.5,2025-01-09,Available,DOH,2023-11-01,32
ULD000317,PAG,6804,18.0,2022-01-20,Available,DXB,2024-04-01,53
ULD000318,P1P,6804,18.0,2021-09-11,In Use,CAN,2024-01-28,49
ULD000319,AKH,1588,11.5,2022-01-05,In Use,IST,2024-06-28,50
ULD000320,PAG,6804,18.0,2024-05-05,In Use,CAN,2024-03-04,41
ULD000321,AAP,6032,16.0,2024-11-15,In Use,DXB,2024-05-10,46
ULD000322,AKH,1588,11.5,2021-02-25,Under Maintenance,HKG,2024-04-30,43
ULD000323,AMA,6804,18.0,2023-07-20,Available,DOH,2024-08-18,72
ULD000324,AKE,1588,10.4,2024-02-12,Under Maintenance,DOH,2024-04-02,54
ULD000325,AMA,6804,18.0,2020-08-02,In Use,SYD,2024-09-22,59
ULD000326,PLA,4627,12.0,2021-12-27,Under Maintenance,SIN,2023-09-30,54
ULD000327,AKE,1588,10.4,2024-05-23,In Use,ORD,2024-11-01,65
ULD000328,AMA,6804,18.0,2023-01-02,In Use,ORD,2023-12-18,50
ULD000329,PAG,6804,18.0,2021-04-16,In Use,JFK,2024-10-28,59
ULD000330,P6P,13608,36.0,2023-11-23,In Use,IST,2024-05-29,54
ULD000331,AKE,1588,10.4,2020-04-22,In Use,IST,2024-12-03,44
ULD000332,AKE,1588,10.4,2021-06-15,Retired,JFK,2024-04-04,48
ULD000333,PMC,6804,18.0,2020-03-12,Under Maintenance,BKK,2023-10-02,40
ULD000334,PAG,6804,18.0,2022-07-02,In Use,MAD,2024-08-30,59
ULD000335,AKE,1588,10.4,2021-12-14,In Use,BKK,2024-06-03,51
ULD000336,P6P,13608,36.0,2023-04-30,Available,DEL,2024-08-12,60
ULD000337,AMA,6804,18.0,2022-07-14,In Use,CAN,2024-07-07,46
