flight_id,flight_number,origin_airport,destination_airport,scheduled_departure,actual_departure,scheduled_arrival,actual_arrival,aircraft_type,planned_payload_kg,actual_payload_kg,fuel_consumption_kg,flight_status,captain_id
QR0038F,QR0038,HKG,DOH,2024-11-21 23:55:00,2024-11-22 00:01:32.874757,2024-11-22 13:55:00,2024-11-22 14:09:24.512051,A350F,97088.12109127338,6015.83,55310.651984191805,Completed,8901eceb
QR0039F,QR0039,DOH,JFK,2024-05-16 18:44:00,2024-05-16 18:59:26.904877,2024-05-16 23:44:00,2024-05-17 00:08:30.592561,B777-300ER,100597.89406057779,1073.5,62958.285419677224,Completed,6443e463
QR0040F,QR0040,DOH,SIN,2024-04-19 02:12:00,2024-04-19 02:40:38.464422,2024-04-19 13:12:00,2024-04-19 13:53:11.062034,B747-8F,86031.71263329405,636.28,59816.98668652526,Completed,3264c9da
QR0041F,QR0041,LAX,DOH,2024-01-04 22:59:00,2024-01-04 23:07:59.288135,2024-01-05 07:59:00,2024-01-05 07:51:02.248382,A350F,110180.93229702258,,56495.37683915736,Completed,55cc40d2
QR0042F,QR0042,DOH,LHR,2024-04-03 06:54:00,2024-04-03 06:58:19.547593,2024-04-03 12:54:00,2024-04-03 12:56:10.626692,B777F,111890.3610259243,,60846.440118280065,Completed,06a6ff67
QR0043F,QR0043,DOH,DXB,2024-11-18 13:15:00,2024-11-18 13:00:00.000000,2024-11-19 03:15:00,2024-11-19 02:52:34.306412,B777-300ER,86329.57050696854,2706.77,62405.85778789614,Completed,ad72c1d0
QR0044F,QR0044,LAX,DOH,2024-09-28 12:07:00,2024-09-28 12:30:59.036229,2024-09-28 23:07:00,2024-09-28 23:16:09.910178,B777F,84883.4168660493,3538.59,64336.76689459439,Completed,3f95e6af
QR0045F,QR0045,DOH,DEL,2024-05-09 01:46:00,2024-05-09 01:55:58.726689,2024-05-09 14:46:00,2024-05-09 14:57:21.292578,B777-300ER,83387.0462097076,354.76,56639.336707513365,Completed,946715f7
QR0046F,QR0046,DOH,SIN,2024-07-09 16:02:00,2024-07-09 16:06:30.487402,2024-07-09 21:02:00,2024-07-09 21:09:39.204859,A350F,112458.12121654762,,61309.30329645137,Completed,6bcfe494
QR0047F,QR0047,DOH,NRT,2024-10-15 14:13:00,2024-10-15 14:25:20.501915,2024-10-15 19:13:00,2024-10-15 19:10:07.756777,A350F,93088.00088155716,,56515.11991178219,Completed,7f9b8868
QR0048F,QR0048,DOH,AMS,2024-10-25 23:50:00,2024-10-25 23:38:57.328903,2024-10-26 11:50:00,2024-10-26 11:45:27.516353,B747-8F,90345.60946549286,4944.8,52178.975493265156,Completed,7b267168
QR0049F,QR0049,HKG,DOH,2024-04-07 15:57:00,2024-04-07 15:55:07.710717,2024-04-08 03:57:00,2024-04-08 04:06:19.375191,B747-8F,109923.57462812506,600.11,60781.639577605514,Completed,f1f405dc
QR0050F,QR0050,MAD,DOH,2024-05-24 05:36:00,2024-05-24 05:44:51.346249,2024-05-24 20:36:00,2024-05-24 21:11:34.862557,A350F,99517.91637028259,2427.69,58272.92287968083,Completed,bc64a1c4
QR0051F,QR0051,DOH,MAD,2024-09-06 07:55:00,2024-09-06 07:52:52.481384,2024-09-06 14:55:00,2024-09-06 14:42:15.622901,B777F,94875.83998164703,1696.19,62726.947404623366,Completed,8aad051c
QR0052F,QR0052,SYD,DOH,2024-12-13 13:01:00,2024-12-13 13:10:52.716949,2024-12-14 02:01:00,2024-12-14 02:17:46.000713,A350F,94932.61625463764,7103.15,58532.38768059294,Diverted,3f3a4dda
QR0053F,QR0053,DEL,DOH,2024-09-04 17:46:00,2024-09-04 17:49:50.131442,2024-09-05 03:46:00,2024-09-05 03:36:29.588876,B777F,104822.36781675994,3776.32,57776.54986423564,Completed,dfa138de
QR0054F,QR0054,HKG,SIN,2025-01-15 15:15:00,2025-01-15 15:33:29.197841,2025-01-16 03:15:00,2025-01-16 03:13:52.319518,B747-8F,110466.99621576734,1860.08,70755.51360144914,Completed,28f4c91c
QR0055F,QR0055,ORD,DOH,2024-01-31 17:09:00,2024-01-31 18:31:07.007581,2024-01-31 23:09:00,2024-02-01 00:42:40.265027,B747-8F,91962.57238435373,891.84,66803.9317773957,Completed,ac08bcf2
QR0056F,QR0056,HKG,DOH,2025-01-09 12:43:00,2025-01-09 12:34:11.810295,2025-01-09 21:43:00,2025-01-09 21:16:36.274286,B777F,95045.8924004196,5872.26,62030.39583314969,Completed,02241025
QR0057F,QR0057,DOH,NRT,2024-02-23 21:16:00,2024-02-23 21:01:00.000000,2024-02-24 03:16:00,2024-02-24 02:46:17.311641,B777F,87130.99233288164,,60240.94377373951,Completed,85e368dd
QR0058F,QR0058,DOH,JFK,2024-03-04 02:36:00,2024-03-04 02:55:41.767036,2024-03-04 15:36:00,2024-03-04 15:56:51.939225,A350F,107202.44113227347,,61390.62744768053,Diverted,963c9ea1
QR0059F,QR0059,DOH,LHR,2024-12-23 17:37:00,2024-12-23 17:22:00.000000,2024-12-24 07:37:00,2024-12-24 07:21:31.978016,B777-300ER,94369.24562486893,,61670.99471585883,Completed,7a566f0f
QR0060F,QR0060,CAN,DOH,2024-03-20 00:10:00,2024-03-20 00:20:23.402868,2024-03-20 04:10:00,2024-03-20 04:27:43.654638,B777-300ER,118216.56658984386,107.15,57268.36867844044,Completed,d8f9c913
QR0061F,QR0061,DOH,NRT,2024-03-17 21:53:00,2024-03-17 21:58:37.746396,2024-03-18 12:53:00,2024-03-18 12:57:01.046003,A330-300,112951.90461740136,,70184.36085897908,Completed,fe65e91c
QR0062F,QR0062,SIN,DOH,2024-05-18 09:56:00,2024-05-18 09:53:46.928879,2024-05-19 00:56:00,2024-05-19 01:20:19.207150,A330-300,82321.85348074016,1327.53,50206.13169352203,Completed,35e55d18
QR0063F,QR0063,MEL,DOH,2024-02-14 11:28:00,2024-02-14 11:25:11.277843,2024-02-14 23:28:00,2024-02-14 23:27:02.355063,A350F,112683.39787678598,,57337.705079658015,Diverted,f4860196
QR0064F,QR0064,DOH,LHR,2024-02-11 22:41:00,2024-02-11 22:47:34.840545,2024-02-12 07:41:00,2024-02-12 07:44:21.681946,B747-8F,103866.51627729926,459.55,49875.23332553392,Completed,6040f002
QR0065F,QR0065,DOH,IST,2024-03-20 06:34:00,2024-03-20 06:40:59.527463,2024-03-20 20:34:00,2024-03-20 20:16:52.650284,B747-8F,91911.48292917195,749.29,60623.86743955578,Completed,80d2aaa0
QR0066F,QR0066,DOH,HKG,2024-11-20 19:04:00,2024-11-20 19:02:17.829281,2024-11-21 09:04:00,2024-11-21 09:01:04.502525,A350F,100507.35813799771,2137.26,62573.79010090042,Completed,12c14cff
QR0067F,QR0067,DOH,SIN,2024-07-06 19:36:00,2024-07-06 19:37:39.684368,2024-07-07 07:36:00,2024-07-07 07:20:24.917058,A350F,85786.19608027907,,63232.38393099176,Completed,3aeae22f
QR0068F,QR0068,SYD,DOH,2025-01-24 16:36:00,2025-01-24 16:42:32.006032,2025-01-25 07:36:00,2025-01-25 07:45:01.357309,B777F,110582.54872228407,22693.14,59689.099728397116,Completed,a5472741
QR0069F,QR0069,LHR,DOH,2024-03-02 12:41:00,2024-03-02 12:44:31.275342,2024-03-03 02:41:00,2024-03-03 02:40:57.097110,B747-8F,94099.01766382798,,57840.88725287528,Completed,8a9227b8
QR0070F,QR0070,LAX,DOH,2025-01-29 12:24:00,2025-01-29 12:12:52.377243,2025-01-29 21:24:00,2025-01-29 20:47:27.638047,A350F,106264.87797892516,12847.67,56496.4166972962,Completed,4674ebb6
QR0071F,QR0071,DOH,BKK,2024-05-24 17:11:00,2024-05-24 17:09:12.791467,2024-05-25 02:11:00,2024-05-25 02:20:30.393441,B777-300ER,87693.72625900086,327.13,63462.32170682164,Completed,1e7d11b3
QR0072F,QR0072,AMS,DOH,2024-07-23 18:25:00,2024-07-23 18:50:26.023205,2024-07-24 03:25:00,2024-07-24 03:43:42.380972,A330-300,98200.4412922783,3838.43,59165.20584673525,Completed,123b1087
QR0073F,QR0073,SIN,DOH,2024-05-19 21:34:00,2024-05-19 21:22:21.852660,2024-05-20 05:34:00,2024-05-20 05:24:55.989833,A350F,115362.80437662925,1596.08,59571.98333843632,Completed,ffc32f2f
QR0074F,QR0074,CAN,DOH,2024-12-17 18:59:00,2024-12-17 19:01:37.738544,2024-12-18 04:59:00,2024-12-18 04:38:30.408250,B747-8F,96431.08358097162,8786.58,60466.84430401582,Completed,494e635c
QR0075F,QR0075,CDG,DOH,2024-03-21 17:48:00,2024-03-21 17:48:46.247167,2024-03-22 04:48:00,2024-03-22 05:04:36.371991,B747-8F,93368.6117348304,81.51,63014.500226240765,Completed,41b28145
QR0076F,QR0076,DOH,DEL,2024-06-22 05:25:00,2024-06-22 05:19:08.152754,2024-06-22 12:25:00,2024-06-22 12:10:26.997313,B747-8F,88699.37415451912,253.57,71289.28150128823,Completed,dcf3e8d0
QR0077F,QR0077,NRT,DOH,2025-01-07 07:55:00,2025-01-07 07:57:49.878493,2025-01-07 19:55:00,2025-01-07 19:56:18.027742,B777F,100803.59750423337,16204.75,62662.16864355158,Completed,beb7a0d6
QR0078F,QR0078,DOH,IST,2024-05-07 16:16:00,2024-05-07 16:01:00.000000,2024-05-08 04:16:00,2024-05-08 03:51:05.341645,B777-300ER,87148.24483730436,2848.37,65764.4402256437,Completed,a9775b28
QR0079F,QR0079,DOH,MEL,2024-04-20 08:14:00,2024-04-20 08:40:22.781110,2024-04-20 16:14:00,2024-04-20 16:59:00.949487,A330-300,115279.5036306452,2764.92,64824.488595530886,Completed,c48aa367
QR0080F,QR0080,DEL,DOH,2024-10-28 02:59:00,2024-10-28 02:52:23.317733,2024-10-28 13:59:00,2024-10-28 13:49:22.803670,A330-300,118333.9433452377,1694.01,69998.7791597901,Completed,e5f117f0
QR0081F,QR0081,SYD,DOH,2024-11-18 18:15:00,2024-11-18 18:04:27.371883,2024-11-18 22:15:00,2024-11-18 22:12:47.273447,B777F,88210.30118945081,8937.23,69929.72388044004,Completed,911a9a6b
QR0082F,QR0082,DOH,SYD,2024-09-05 09:29:00,2024-09-05 10:11:12.746011,2024-09-05 18:29:00,2024-09-05 19:14:47.767927,B747-8F,99542.44642339366,1825.71,66849.41629976181,Completed,f5bf65d8
QR0083F,QR0083,LHR,JFK,2024-01-10 19:56:00,2024-01-10 19:43:13.749263,2024-01-11 05:56:00,2024-01-11 05:26:58.879661,A350F,118146.25803853085,,63216.75089784875,Completed,b2771e96
QR0084F,QR0084,DOH,HKG,2024-01-19 07:51:00,2024-01-19 08:02:24.581697,2024-01-19 16:51:00,2024-01-19 16:43:19.034318,B777F,119138.26688737136,,60337.65531990245,Completed,7894963d
QR0085F,QR0085,SIN,DOH,2024-06-08 22:55:00,2024-06-08 22:46:38.283090,2024-06-09 03:55:00,2024-06-09 03:42:39.037560,B777-300ER,99751.95582862984,2351.64,67273.74767685295,Diverted,73e85d3b
QR0086F,QR0086,DOH,LHR,2024-08-23 11:11:00,2024-08-23 11:29:48.456688,2024-08-24 00:11:00,2024-08-24 00:38:00.657421,A330-300,115604.21893770815,575.22,62990.508898805776,Completed,f750dec6
QR0087F,QR0087,IST,DOH,2024-07-10 17:03:00,2024-07-10 17:07:53.478334,2024-07-10 23:03:00,2024-07-10 23:08:43.131908,A350F,119845.87323733354,5649.47,47784.27347384634,Completed,a2a85015
QR0088F,QR0088,DOH,PVG,2024-10-23 16:35:00,2024-10-23 16:34:57.682633,2024-10-24 01:35:00,2024-10-24 01:26:22.318330,A350F,100258.4447506832,4555.75,60729.09049010644,Completed,88869861
QR0089F,QR0089,DOH,MAD,2024-07-17 13:03:00,2024-07-17 12:59:53.417120,2024-07-18 05:03:00,2024-07-18 05:05:55.681709,A330-300,97055.595790777,2943.0,59453.61743890805,Completed,f91dbb51
QR0090F,QR0090,FRA,DOH,2024-07-17 17:28:00,2024-07-17 17:34:43.366618,2024-07-17 23:28:00,2024-07-17 23:22:06.387304,B747-8F,100778.11066070225,1743.85,49983.30071495279,Completed,52a9abe1
QR0091F,QR0091,DOH,BKK,2024-12-21 17:40:00,2024-12-21 17:51:52.456291,2024-12-22 06:40:00,2024-12-22 06:59:41.563283,A350F,98084.08823057257,6735.71,60707.396707419015,Diverted,c951f18a
QR0092F,QR0092,LHR,JFK,2024-09-06 22:53:00,2024-09-06 23:06:19.219087,2024-09-07 04:53:00,2024-09-07 05:25:00.944181,A330-300,108708.89018973966,219.5,53627.39563057435,Completed,f4f565bf
QR0093F,QR0093,DOH,HKG,2024-08-31 02:51:00,2024-08-31 02:44:22.385110,2024-08-31 11:51:00,2024-08-31 11:45:40.470078,B777F,86795.315006433,660.06,55006.74654826096,Completed,8c7d1601
QR0094F,QR0094,DOH,LHR,2024-12-19 01:09:00,2024-12-19 00:59:08.175245,2024-12-19 10:09:00,2024-12-19 09:46:52.694282,B747-8F,92400.8738486441,1713.09,64452.092927451034,Completed,c4790335
QR0095F,QR0095,DOH,HKG,2024-10-24 07:08:00,2024-10-24 06:53:05.851486,2024-10-24 12:08:00,2024-10-24 11:55:17.624349,B777-300ER,115378.8525430211,1445.94,59438.62065674915,Completed,5c01388c
QR0096F,QR0096,DOH,SYD,2024-02-21 15:02:00,2024-02-21 14:53:37.787942,2024-02-22 05:02:00,2024-02-22 04:58:51.220341,A350F,91693.18063370534,2092.9,65252.29140153479,Completed,9d1d2cb0
QR0097F,QR0097,DOH,MEL,2024-09-25 09:54:00,2024-09-25 10:10:51.421052,2024-09-25 22:54:00,2024-09-25 23:01:09.802961,A350F,118930.42973455598,8408.84,58484.42839241643,Completed,3400f3f6
QR0098F,QR0098,SIN,DOH,2024-05-30 15:54:00,2024-05-30 16:01:33.772037,2024-05-30 22:54:00,2024-05-30 22:55:14.844726,A350F,109222.6508173362,532.13,52512.25519419919,Completed,d790cee3
QR0099F,QR0099,DOH,MEL,2024-07-02 20:26:00,2024-07-02 20:55:22.306005,2024-07-03 00:26:00,2024-07-03 00:55:40.320000,B747-8F,117048.56421594275,1757.31,51971.045700092014,Completed,4528ae54
QR0100F,QR0100,CDG,DOH,2024-11-10 11:18:00,2024-11-10 11:12:25.120044,2024-11-10 16:18:00,2024-11-10 16:27:20.060902,A330-300,119290.58245422784,3391.55,58410.84728990228,Completed,5e085c51
QR0101F,QR0101,DOH,HKG,2024-09-24 23:08:00,2024-09-24 23:09:04.428721,2024-09-25 04:08:00,2024-09-25 04:11:20.813714,B747-8F,86736.3179604012,751.33,55951.43346374137,Completed,a233883a
QR0102F,QR0102,LHR,DOH,2024-10-30 20:19:00,2024-10-30 20:24:50.023339,2024-10-31 00:19:00,2024-10-31 00:11:13.308335,A350F,116835.4463132078,4293.87,60128.138362010126,Completed,3fa4ac54
QR0103F,QR0103,DOH,NRT,2024-10-23 13:16:00,2024-10-23 13:22:51.534274,2024-10-23 20:16:00,2024-10-23 20:18:55.524061,A330-300,117795.02567642176,510.69,59928.65411202721,Completed,623b9f6e
QR0104F,QR0104,DOH,IST,2024-10-24 12:33:00,2024-10-24 12:31:02.104980,2024-10-25 02:33:00,2024-10-25 02:18:59.526264,A350F,84411.06913106267,7405.69,60173.84507296634,Completed,01fd600e
QR0105F,QR0105,DOH,AMS,2024-06-13 10:16:00,2024-06-13 10:21:54.654319,2024-06-13 19:16:00,2024-06-13 19:19:33.885968,A330-300,107716.36606272323,3180.26,58307.963889715924,Completed,3fe2e1dc
QR0106F,QR0106,DOH,DEL,2024-08-01 01:20:00,2024-08-01 01:21:19.515385,2024-08-01 06:20:00,2024-08-01 06:35:17.927693,A330-300,118972.70548817657,7620.74,61319.87154718079,Completed,a6209aef
QR0107F,QR0107,FRA,DOH,2024-03-19 12:57:00,2024-03-19 12:44:09.687668,2024-03-19 19:57:00,2024-03-19 20:04:13.342263,B777F,87242.0144188859,,63834.939656900184,Completed,b10a1a58
QR0108F,QR0108,DOH,AMS,2024-08-03 03:41:00,2024-08-03 03:42:11.010039,2024-08-03 08:41:00,2024-08-03 08:48:03.406097,A350F,113881.8767548222,4280.21,48311.3642973649,Completed,fafdce81
QR0109F,QR0109,FRA,DOH,2024-02-17 18:41:00,2024-02-17 18:51:55.571155,2024-02-18 00:41:00,2024-02-18 00:52:50.280070,B777F,114674.94331196716,,61766.09590915398,Completed,d8b57557
QR0110F,QR0110,DEL,DOH,2024-04-15 19:13:00,2024-04-15 19:14:12.887148,2024-04-16 01:13:00,2024-04-16 01:18:55.507490,B777F,101957.547140747,546.11,57268.88157766947,Completed,3d4ccc94
QR0111F,QR0111,DOH,HKG,2025-01-26 20:19:00,2025-01-26 20:13:47.758206,2025-01-27 08:19:00,2025-01-27 08:01:01.827136,B747-8F,94402.61974202913,3273.79,54650.28724302442,Completed,cbc76f38
QR0112F,QR0112,DXB,DOH,2024-01-18 18:54:00,2024-01-18 18:45:12.169583,2024-01-19 01:54:00,2024-01-19 01:42:35.329252,B777-300ER,81694.47727811128,,62133.27905296238,Completed,f2593f33
QR0113F,QR0113,DOH,IST,2024-07-28 23:41:00,2024-07-29 00:00:52.683939,2024-07-29 14:41:00,2024-07-29 15:31:39.100828,A350F,113107.17628814162,2302.08,55738.15937979,Completed,1249dbd7
QR0114F,QR0114,DOH,SIN,2024-08-12 07:01:00,2024-08-12 07:20:04.494404,2024-08-12 15:01:00,2024-08-12 15:05:24.866698,B777-300ER,118142.88895340635,458.57,58716.32710578716,Completed,99ab7c5b
QR0115F,QR0115,FRA,DOH,2024-08-12 19:45:00,2024-08-12 19:56:46.980867,2024-08-13 01:45:00,2024-08-13 01:40:41.235004,A350F,102420.8873958036,554.06,62404.375327229835,Completed,17abb6e7
QR0116F,QR0116,FRA,DOH,2024-12-14 00:11:00,2024-12-14 00:11:08.816457,2024-12-14 11:11:00,2024-12-14 11:16:56.366306,B777F,117105.5319676059,1343.46,57327.36205031276,Completed,44fcf7f0
QR0117F,QR0117,AMS,DOH,2024-05-20 16:58:00,2024-05-20 16:58:55.506785,2024-05-20 21:58:00,2024-05-20 21:35:02.613483,B747-8F,81299.2528814358,2063.06,63063.57365598284,Completed,289ecba1
QR0118F,QR0118,LHR,JFK,2024-01-14 04:37:00,2024-01-14 04:31:19.912009,2024-01-14 16:37:00,2024-01-14 16:43:29.734405,B747-8F,111861.94216185994,,55527.44389190863,Completed,511d38ab
QR0119F,QR0119,NRT,DOH,2024-05-01 04:50:00,2024-05-01 04:43:48.149006,2024-05-01 19:50:00,2024-05-01 19:42:51.428326,B777F,104055.04845772641,2457.12,61079.42979017799,Completed,9fc450a8
QR0120F,QR0120,BKK,DOH,2024-12-22 17:31:00,2024-12-22 17:42:19.755832,2024-12-23 07:31:00,2024-12-23 08:13:14.136261,A350F,116587.8297408486,6553.1,55365.37956950196,Completed,f6471c01
QR0121F,QR0121,LAX,DOH,2024-06-07 21:13:00,2024-06-07 21:29:47.782340,2024-06-08 12:13:00,2024-06-08 12:26:04.904422,B777-300ER,101769.4703044167,106.48,61406.87066967626,Completed,cb106647
QR0122F,QR0122,DOH,CAN,2024-10-10 12:59:00,2024-10-10 14:29:12.241337,2024-10-11 04:59:00,2024-10-11 06:46:28.228948,B777F,106142.42902180771,1492.16,62276.9597205126,Completed,be481c4f
